LAST NAME,FIRST NAME,DOB,POB,SSN,SEX,STREET NUMBER,STREET NAME,VOTER REG DATE,PARTY 
SMITH,Alex,01/05/1917,Alderwood,970-18-7974,MALE,1355,ANGORA,01/01/1935,DEMOCRAT
JOHNSON,Bonnie,01/07/1916,Alderwood,228-59-7899,FEMALE,1773,SECOND,01/02/1935,DEMOCRAT
WILLIAMS,Charley,02/07/1913,Utah,176-01-4411,MALE,155,BRITTANY,01/03/1935,DEMOCRAT
JONES,Danielle,11/05/1915,Alderwood,624-29-3132,FEMALE,13,COLLIE,01/04/1935,DEMOCRAT
BROWN,Earl,01/10/1916,PENNSYLVANIA,882-79-8502,MALE,671,SAGUARO,01/05/1935,REPUBLICAN
DAVIS,Frances,06/25/1914,Alderwood,300-35-7744,MALE,392,CORNISH,01/06/1935,REPUBLICAN
MILLER,Gaston,04/08/1934,Oregon,894-63-4526,MALE,37,EIGHTEENTH,01/07/1935,REPUBLICAN
WILSON,Hermine,01/12/1917,NEW HAMPSHIRE,881-69-6163,FEMALE,350,FOXGLOVE,01/08/1935,REPUBLICAN
MOORE,Ivan,06/28/1914,KENTUCKY,587-21-5613,MALE,219,FIFTEENTH,01/09/1935,REPUBLICAN
TAYLOR,Jeanne,02/14/1913,Alderwood,742-42-4294,FEMALE,644,DOGWOOD,01/10/1935,REPUBLICAN
AABERG,Karl,11/12/1915,Alderwood,913-29-2598,MALE,591,BLACKBERRY,01/11/1935,REPUBLICAN
ABBOTT,Lisa,02/16/1913,Alderwood,935-38-7025,FEMALE,1456,KEESHOND,01/12/1935,INDEPENDENT
ACE,Matthew,02/17/1913,Alderwood,281-95-7520,MALE,1113,BOXWOOD,01/13/1935,DEMOCRAT
ACKERMAN,Nicole,11/15/1915,Alderwood,904-24-1973,FEMALE,1337,BORZOI,01/14/1935,DEMOCRAT
ADAMS,Otto,02/19/1913,Utah,179-13-8618,MALE,181,SWEET PEA,01/15/1935,DEMOCRAT
ADDLEMAN,Paula,05/27/1910,NORTH CAROLINA,486-74-4181,FEMALE,186,MARIGOLD,01/16/1935,DEMOCRAT
ADKINS,Richard,10/10/1911,Alderwood,856-14-8308,MALE,3031,DOGWOOD,01/17/1935,DEMOCRAT
ALEXANDER,Shary,02/22/1913,Utah,470-68-8153,FEMALE,1060,BARREL,01/18/1935,REPUBLICAN
AKER,Tomas,02/23/1913,Idaho,196-51-7071,MALE,230,LABRADOR,01/19/1935,REPUBLICAN
ALLEN,VirginiA,11/21/1915,California,220-14-5306,FEMALE,245,BLACKBERRY,01/20/1935,REPUBLICAN
ALLWINE,Walter,02/25/1913,Montana,782-72-5402,MALE,4,POODLE,01/21/1935,REPUBLICAN
AMAN,Arlene,05/01/1977,ARIZONA,626-91-5598,FEMALE,130,JAVANESE,01/22/1935,REPUBLICAN
BACHELOR,Bret,07/12/1914,Washington,579-86-3368,MALE,883,SPRUCE,01/23/1935,REPUBLICAN
BACON,Cindy,11/25/1915,Alderwood,301-19-4781,FEMALE,2051,CRANBERRY,01/24/1935,REPUBLICAN
BAER,Dennis,07/14/1914,NEBRASKA,767-26-6777,MALE,552,PANSY,01/25/1935,INDEPENDENT
BAILEY,Emily,11/27/1915,Alderwood,272-45-9421,FEMALE,1001,CORNISH,01/26/1935,DEMOCRAT
BAKER,Franklin,07/16/1914,Washington,074-30-3906,MALE,265,AFGHAN,01/27/1935,DEMOCRAT
WHITFORD,Gert,04/08/1934,Alderwood,183-12-6473,FEMALE,547,SOMALI,01/28/1935,DEMOCRAT
MILLER,Harvey,03/05/1913,Washington,526-34-6730,MALE,98,PHEASANT,01/29/1935,DEMOCRAT
BECKER,Irene,03/06/1913,MEXICO,551-53-5757,FEMALE,314,BITTERSWEET,01/30/1935,DEMOCRAT
BRAGG,Jose,03/31/1947,Alderwood,804-46-7841,MALE,1330,BARREL,01/31/1935,REPUBLICAN
FOLEY,Katrina,12/03/1915,Alderwood,304-07-2220,FEMALE,2506,FOXGLOVE,02/01/1935,REPUBLICAN
HENDERSON,Lee,07/22/1914,Oregon,392-47-1597,MALE,3748,SERENGETI,02/02/1935,REPUBLICAN
